Timestamp,initials,favourite_country,favourite_season,bucket_list,CTA,weekends
"2024/10/17 12:37:11 pm CET","S.M.N","Japan","Autumn","I want to walk the whole length of a country","Game engine","Engaging in a hobby"
"2024/10/17 12:38:07 pm CET","C.D","Mongolia ","Spring","Visit Peru","Future machine","Exploring the outdoors"
"2024/10/17 12:38:10 pm CET","B.H","Vietnam","Summer","Try all of the amazing foods in the world!","Coding","Hanging out with friends"
"2024/10/17 12:38:13 pm CET","H.C","Morocco","Winter","Join a Music Festival","Coding","Hanging out with friends"
"2024/10/17 12:43:36 pm CET","B.S","Italy","Winter","See all my favourite bands","Future machine","Relaxing at home"
"2024/10/17 12:50:22 pm CET","O.E","Meixco","Summer","be a billionaire","Future machine","Hanging out with friends"
"2024/10/17 12:52:14 pm CET","B.A.O","Portugal","Spring","Go to an all-inclusive resort","Future machine","Exploring the outdoors"
"2024/10/17 12:56:54 pm CET","Z.Z","Spain","Autumn","my own dog","Coding","Relaxing at home"
"2024/10/17 1:02:59 pm CET","Y.C","Spain","Autumn","Go to Norway","Generative AI","Hanging out with friends"
"2024/10/17 1:07:23 pm CET","J.Z","Italy","Autumn","parachuting","Generative AI","Relaxing at home"
"2024/10/17 1:15:26 pm CET","Q.W","Spain","Spring","I don't know","Coding","Relaxing at home"
"2024/10/17 1:23:26 pm CET","A.A","Switzerland ","Winter","skydiving ","Coding","Relaxing at home"
"2024/10/17 1:29:24 pm CET","F.L","Scotland","Summer","Sleep in a portaledge on a big climbing route","Coding","Engaging in a hobby"
"2024/10/17 1:50:55 pm CET","Z.T","Jordan","Autumn","Go Skydiving!","Coding","Hanging out with friends"
"2024/10/17 1:56:16 pm CET","A.P","Austria","Spring","Sky dive","Game engine","Relaxing at home"
"2024/10/17 2:02:07 pm CET","G.L","Belgium","Spring","Travel","Generative AI","Relaxing at home"
"2024/10/17 2:02:21 pm CET","T.S","Sweden","Winter","Jumping out of a plane","Future machine","Relaxing at home"
"2024/10/20 1:58:27 pm CET","M.O","Cayman Islands","Winter","Visit all the countries in the Caribbean","Future machine","Relaxing at home"
